step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
11,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.9000000000001,0.1,0.0011123470522803101,20.0,0.22246941045606203,59.0,0.656284760845383,0.0,0.0,0.015420424466944116,0.1016949152542373,0.0,0,6,26,13,1,40,59,37,6.800000000000003,0.07563959955506112,4.000000000000001,0.04449388209121242,34,20,34
12,C,all_agents,,,40,15,10,15,15,0,0.23227654645505116,0.19072261789117664,0.6190802155558047,0.01649860028836908,49,23,0.575,0,0.0,0.0,31.85,339,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,participants_only,,,30,15,0,15,15,0,0.244971545533835,0.21582729760263336,0.6190802155558047,0.01601660472151806,49,23,0.7666666666666667,0,0.0,0.0,25.8,339,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,nonparticipants_only,,,10,0,10,0,0,0,0.1941915492186997,0.14822978905323408,0.586362651065689,0.016010630969598275,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,step_totals,,,,,,,,,,,,,,,,,,,,,80.50000000000009,0.1,0.0012422360248447192,20.0,0.24844720496894385,49.0,0.6086956521739124,0.0,0.0,0.015609787288350838,0.08163265306122448,0.0,0,4,50,8,1,40,49,38,7.0000000000000036,0.08695652173913039,4.400000000000001,0.05465838509316766,35,22,44
13,C,all_agents,,,40,16,10,14,16,0,0.23727709320401083,0.19215581525856795,0.6343170069335725,0.0172170254812098,50,24,0.6,0,0.0,0.0,31.425,373,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,participants_only,,,30,16,0,14,16,0,0.25143902728933676,0.21620382408209343,0.6343170069335725,0.01694890608293751,50,24,0.8,0,0.0,0.0,25.233333333333334,373,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,nonparticipants_only,,,10,0,10,0,0,0,0.19479129094803307,0.15056587502433588,0.5834308378103605,0.015614659151581273,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,C,step_totals,,,,,,,,,,,,,,,,,,,,,90.8000000000001,,,20.0,0.2202643171806165,60.0,0.6607929515418495,0.0,0.0,0.014907790216895348,0.016666666666666666,0.0,0,1,25,14,,40,60,37,6.400000000000003,0.07048458149779732,4.400000000000001,0.04845814977973564,32,22,34
14,C,all_agents,,,40,18,10,12,18,0,0.24134118143640768,0.1911950361822751,0.6489443266562296,0.017866992926789112,54,24,0.6,0,0.0,0.0,31.525,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,C,participants_only,,,30,18,0,12,18,0,0.25665988718188565,0.21568181824197435,0.6489443266562296,0.017806573417122197,54,24,0.8,0,0.0,0.0,25.366666666666667,402,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,C,nonparticipants_only,,,10,0,10,0,0,0,0.1953850641999739,0.15004692111861612,0.5805136836213087,0.015232298507191398,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,C,step_totals,,,,,,,,,,,,,,,,,,,,,79.6000000000001,,,20.0,0.2512562814070349,48.0,0.6030150753768837,0.0,0.0,0.014401369956228129,0.08333333333333333,0.0,0,4,53,9,,40,48,37,6.800000000000003,0.0854271356783919,4.800000000000002,0.06030150753768839,34,24,43
15,C,all_agents,,,40,19,10,11,19,0,0.24590288772921273,0.1936621055673837,0.6629865535899804,0.018696134087711425,59,25,0.625,0,0.0,0.0,31.25,435,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,C,participants_only,,,30,19,0,11,19,0,0.26254566064002,0.21460340915076448,0.6629865535899804,0.018867947830241885,59,25,0.8333333333333334,0,0.0,0.0,25.0,435,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,C,nonparticipants_only,,,10,0,10,0,0,0,0.1959745689967908,0.14929668651302302,0.5776111152032022,0.014856910178191627,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.0000000000001,,,20.0,0.22727272727272702,57.0,0.647727272727272,0.0,0.0,0.014247498600792425,0.08771929824561403,0.0,0,5,28,12,,40,57,37,6.400000000000003,0.07272727272727268,4.600000000000001,0.05227272727272723,32,23,37
16,C,all_agents,,,40,20,10,10,20,0,0.24983232283926882,0.19374982836529853,0.6764670914463812,0.019489656266470215,65,25,0.625,0,0.0,0.0,31.425,466,,,,,,,,,,,,,,,,,,,,,,,,,,,
