step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
9,D,all_agents,,,40,7,10,23,7,0,0.205647207434058,0.17344969472921065,0.6470450230985773,0.012756137337853857,37,21,0.525,0,0.0,0.0,32.975,253,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,7,0,23,7,0,0.21972915709041121,0.19732797581284917,0.6470450230985773,0.013549639277398232,37,21,0.7,0,0.0,0.0,27.3,253,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.1634013584649984,0.1454930887223353,0.4525062168760915,0.007996015845731938,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.70000000000009,0.1,0.0011273957158962785,20.0,0.2254791431792557,58.0,0.6538895152198415,0.0,0.0,0.013983517563123464,0.08620689655172414,0.0,0,5,12,28,1,40,58,40,6.600000000000003,0.07440811724915442,4.000000000000001,0.04509582863585115,33,20,36
10,D,all_agents,,,40,8,10,22,8,0,0.21073187162931445,0.1796665694958231,0.6611632221746342,0.01324110529277961,42,22,0.55,0,0.0,0.0,32.7,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,8,0,22,8,0,0.2262530558925127,0.19946022857897205,0.6611632221746342,0.014116303213584576,42,22,0.7333333333333333,0,0.0,0.0,26.933333333333334,284,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.16416831883971963,0.1452130626445528,0.45024368579171103,0.0077246255991788755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,85.90000000000008,,,19.5,0.22700814901047708,56.0,0.6519208381839342,0.0,0.0,0.01591700793743691,0.08928571428571429,0.0,0,5,13,35,,39,56,37,6.400000000000003,0.07450523864959252,4.000000000000001,0.04656577415599531,32,20,33
10,D,reachability,0.425,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,12,10,18,12,0,0.21553927534513886,0.18323593155478649,0.6747166932876488,0.013658697354255872,46,22,0.55,0,0.0,0.0,32.275,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,participants_only,,,30,12,0,18,12,0,0.23240919388491663,0.20322556394093594,0.6747166932876488,0.01458619677211444,46,22,0.7333333333333333,0,0.0,0.0,26.366666666666667,312,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,nonparticipants_only,,,10,0,10,0,0,0,0.16492951972580552,0.14591910809918146,0.4479924673627525,0.007461069282215314,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,step_totals,,,,,,,,,,,,,,,,,,,,,87.50000000000007,,,19.5,0.22285714285714267,57.0,0.6514285714285709,0.0,0.0,0.014915777277750352,0.07017543859649122,0.0,0,4,10,29,,39,57,39,6.600000000000003,0.0754285714285714,4.400000000000001,0.05028571428571426,33,22,39
12,D,all_agents,,,40,12,10,18,12,0,0.22004786210331506,0.18231975189701255,0.6877280255561429,0.014123991221047901,54,24,0.6,0,0.0,0.0,32.075,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,participants_only,,,30,12,0,18,12,0,0.23816926748016792,0.2063247368507755,0.6877280255561429,0.015114997846085465,54,24,0.8,0,0.0,0.0,26.1,340,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,nonparticipants_only,,,10,0,10,0,0,0,0.1656836459727564,0.14790846296795973,0.4457525050259387,0.007210347351948415,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,step_totals,,,,,,,,,,,,,,,,,,,,,82.6000000000001,0.2,0.0024213075060532663,20.0,0.2421307506053266,51.0,0.6174334140435829,0.0,0.0,0.015053724776463029,0.1568627450980392,0.0,0,8,7,47,2,40,51,37,7.0000000000000036,0.08474576271186435,4.400000000000001,0.053268765133171865,35,22,40
13,D,all_agents,,,40,13,10,17,13,0,0.22483980877142845,0.18470783822968895,0.7002189045338971,0.01465919970905933,62,27,0.675,0,0.0,0.0,31.8,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,participants_only,,,30,13,0,17,13,0,0.24430899735869613,0.21370263162647307,0.7002189045338971,0.01570718633491319,62,27,0.9,0,0.0,0.0,25.733333333333334,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,nonparticipants_only,,,10,0,10,0,0,0,0.1664322430096254,0.14763221767469342,0.443523742500809,0.006966648180538622,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.60000000000011,0.1,0.001154734411085449,19.5,0.22517321016166253,56.0,0.6466512702078514,0.0,0.0,0.015049422392861158,0.14285714285714285,0.0,0,8,10,28,1,39,56,39,6.200000000000003,0.07159353348729787,4.800000000000002,0.055427251732101564,31,24,40
14,D,all_agents,,,40,16,10,14,16,0,0.22980776038185605,0.1884855791793948,0.7122101483525413,0.01539776764002139,64,27,0.675,0,0.0,0.0,31.725,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,participants_only,,,30,16,0,14,16,0,0.25068526716199624,0.22659554660595296,0.7122101483525413,0.016543493542924437,64,27,0.9,0,0.0,0.0,25.633333333333333,406,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,nonparticipants_only,,,10,0,10,0,0,0,0.16717524004143544,0.14948332689691143,0.44130612378830497,0.00673014645905464,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,step_totals,,,,,,,,,,,,,,,,,,,,,83.2000000000001,,,20.0,0.24038461538461509,51.0,0.6129807692307685,0.0,0.0,0.016281190486098933,0.0392156862745098,0.0,0,2,7,49,,40,51,37,6.800000000000003,0.08173076923076918,5.400000000000002,0.0649038461538461,34,27,40
15,D,all_agents,,,40,16,10,14,16,0,0.23451674228036853,0.1907101647291885,0.7237217424184396,0.01616839994933114,68,27,0.675,0,0.0,0.0,31.475,439,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,participants_only,,,30,16,0,14,16,0,0.2567183797194964,0.227879092166743,0.7237217424184396,0.017418188892818688,68,27,0.9,0,0.0,0.0,25.3,439,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,nonparticipants_only,,,10,0,10,0,0,0,0.16791182996298504,0.15099207224459776,0.4390995931693634,0.006504080659126713,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,step_totals,,,,,,,,,,,,,,,,,,,,,85.8000000000001,0.1,0.0011655011655011642,19.5,0.22727272727272702,55.0,0.6410256410256403,0.0,0.0,0.014947745285592073,0.07272727272727272,0.0,0,4,10,30,1,39,55,38,5.8000000000000025,0.06759906759906756,5.400000000000002,0.06293706293706289,29,27,41
16,D,all_agents,,,40,17,10,13,17,0,0.23948096897461385,0.19163942144963608,0.734772872721702,0.01704281805568492,76,28,0.7,0,0.0,0.0,31.4,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,participants_only,,,30,17,0,13,17,0,0.26309364042590017,0.23277164009346551,0.734772872721702,0.01839855225770434,76,28,0.9333333333333333,0,0.0,0.0,25.2,478,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,nonparticipants_only,,,10,0,10,0,0,0,0.16864295462075488,0.15348800901185605,0.4369040952035166,0.006284916412829957,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,D,step_totals,,,,,,,,,,,,,,,,,,,,,82.50000000000009,,,19.5,0.2363636363636361,51.0,0.6181818181818175,0.0,0.0,0.016419965646579843,0.1568627450980392,0.0,0,8,8,48,,39,51,36,6.600000000000003,0.07999999999999996,5.400000000000002,0.06545454545454542,33,27,39
