step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
9,C,step_totals,,,,,,,,,,,,,,,,,,,,,90.20000000000009,19.5,0.2161862527716184,0.1,0.0011086474501108637,0.0,0.0,60.0,0.6651884700665182,0.015502103653852593,0.05,0.0,0,3,14,27,39,1,39,60,6.000000000000003,0.06651884700665185,4.600000000000001,0.05099778270509974,30,23,30
10,C,all_agents,,,40,11,10,19,11,0,0.2160145080556019,0.1827563255355474,0.5689826883581212,0.013656676285460636,55,24,0.6,0,0.0,0.0,32.5,304,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,participants_only,,,30,11,0,19,11,0,0.2292262963496038,0.2040429756086784,0.5689826883581212,0.014256261330319042,55,24,0.8,0,0.0,0.0,26.666666666666668,304,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,nonparticipants_only,,,10,0,10,0,0,0,0.1763791431735963,0.12703323914666598,0.4398109659118592,0.00976330495177912,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,C,step_totals,,,,,,,,,,,,,,,,,,,,,88.1000000000001,20.0,0.22701475595913712,0.1,0.0011350737797956856,0.0,0.0,57.0,0.6469920544835407,0.016992467403555336,0.08771929824561403,0.0,0,5,10,39,40,1,40,57,6.400000000000003,0.0726447219069239,4.600000000000001,0.05221339387060155,32,23,33
10,C,reachability,0.375,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,all_agents,,,40,13,10,17,13,0,0.22086065944899602,0.1856484545187499,0.5862233808237963,0.014343683918203032,61,26,0.65,0,0.0,0.0,32.125,334,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,participants_only,,,30,13,0,17,13,0,0.23545814551548322,0.20689610065086578,0.5862233808237963,0.015111103014849995,61,26,0.8666666666666667,0,0.0,0.0,26.166666666666668,334,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,nonparticipants_only,,,10,0,10,0,0,0,0.17706820124953446,0.13101061508259826,0.4376119110822999,0.009484387434726687,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,C,step_totals,,,,,,,,,,,,,,,,,,,,,89.3000000000001,19.5,0.21836506159014535,,,0.0,0.0,59.0,0.6606942889137731,0.014610777037616806,0.1016949152542373,0.0,0,6,14,27,39,,39,59,6.000000000000003,0.06718924972004475,4.800000000000002,0.053751399776035796,30,24,33
12,C,all_agents,,,40,16,10,14,16,0,0.22519184532137693,0.18820550303350603,0.6027744455908445,0.01507659370823775,64,26,0.65,0,0.0,0.0,32.05,363,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,participants_only,,,30,16,0,14,16,0,0.24100535350833185,0.2094906840987536,0.6027744455908445,0.01602999985091605,64,26,0.8666666666666667,0,0.0,0.0,26.066666666666666,363,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,nonparticipants_only,,,10,0,10,0,0,0,0.17775132076051214,0.13108563586683558,0.4354238515268884,0.009215570786056173,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,C,step_totals,,,,,,,,,,,,,,,,,,,,,83.0000000000001,20.0,0.24096385542168647,0.2,0.0024096385542168646,0.0,0.0,51.0,0.6144578313253005,0.014413287149073601,0.058823529411764705,0.0,0,3,7,49,40,2,40,51,6.600000000000003,0.07951807228915657,5.200000000000002,0.0626506024096385,33,26,40
13,C,all_agents,,,40,16,10,14,16,0,0.23053370752758945,0.19081270707537595,0.6186634677672107,0.0161520142596294,69,27,0.675,0,0.0,0.0,31.65,403,,,,,,,,,,,,,,,,,,,,,,,,,,,
