step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
16,A,nonparticipants_only,,,10,0,10,0,0,0,0.16569089964387057,0.12567709493183413,0.5020513692046787,0.008724958646633259,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.40000000000009,,,19.0,0.22511848341232205,54.0,0.6398104265402836,0.0,0.0,0.015751761202117014,0.12962962962962962,0.0,0,7,13,37,,38,54,34,6.000000000000003,0.07109004739336489,5.400000000000002,0.06398104265402839,30,27,33
17,A,all_agents,,,40,21,10,9,21,0,0.24349066013251472,0.2005653529826423,0.6435364563280298,0.018560877176938335,161,30,0.75,70,4.3428571428571425,1.6857142857142857,31.225,554,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,participants_only,,,30,21,0,9,21,0,0.2691736552348178,0.22352236086466087,0.6435364563280298,0.019289751945103708,161,30,1.0,70,4.3428571428571425,1.6857142857142857,24.966666666666665,554,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,nonparticipants_only,,,10,0,10,0,0,0,0.16644167482560546,0.12604692306372017,0.49954111235865534,0.00845885802334314,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.70000000000009,,,19.5,0.232974910394265,53.0,0.63321385902031,0.0,0.0,0.01626070362061847,0.1509433962264151,0.0,0,8,14,25,,39,53,34,6.000000000000003,0.07168458781362003,5.200000000000002,0.06212664277180402,30,26,42
18,A,all_agents,,,40,25,10,5,25,0,0.2482435337173749,0.20474204054071998,0.6577949980749086,0.019603103107879317,165,30,0.75,70,4.3428571428571425,1.6857142857142857,31.175,593,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,participants_only,,,30,25,0,5,25,0,0.2752624693720872,0.2277313778566335,0.6577949980749086,0.020483844422794762,165,30,1.0,70,4.3428571428571425,1.6857142857142857,24.9,593,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,nonparticipants_only,,,10,0,10,0,0,0,0.16718672675323806,0.12571394711968342,0.49704340679686204,0.008200604556171179,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.40000000000008,,,19.0,0.22511848341232207,54.0,0.6398104265402837,0.0,0.0,0.015421811501296715,0.07407407407407407,0.0,0,4,13,37,,38,54,34,6.000000000000003,0.0710900473933649,5.400000000000002,0.0639810426540284,30,27,35
