step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
18,A,step_totals,,,,,,,,,,,,,,,,,,,,,78.2000000000001,,,19.0,0.24296675191815825,0.0,0.0,47.0,0.6010230179028125,0.013912619312654716,0.0851063829787234,0.16393442622950835,2,4,9,53,,38,38,47,6.000000000000003,0.07672634271099738,6.200000000000003,0.07928388746803063,30,31,40
19,A,all_agents,,,40,21,10,9,21,0,0.24228434175790958,0.18013923563578774,0.701022568315074,0.01949083316900944,146,30,0.75,66,4.0606060606060606,1.6666666666666667,31.775,593,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,participants_only,,,30,21,0,9,21,0,0.2685397264770965,0.21729931252232174,0.701022568315074,0.021096192432824096,146,30,1.0,66,4.0606060606060606,1.6666666666666667,25.7,593,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,nonparticipants_only,,,10,0,10,0,0,0,0.16351818760034886,0.13790313462275827,0.46776450162808964,0.0064026126565353185,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.70000000000007,,,19.5,0.22753792298716433,0.0,0.0,55.0,0.6417736289381558,0.015118074428579188,0.10909090909090909,0.08928571428571434,1,6,14,34,,39,35,55,6.000000000000003,0.07001166861143521,5.200000000000002,0.060676779463243846,30,26,36
20,A,all_agents,,,40,27,10,3,27,0,0.24640234321067445,0.18386142849481113,0.7129816655824711,0.020601784054186355,154,30,0.75,66,4.0606060606060606,1.6666666666666667,31.95,629,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,participants_only,,,30,27,0,3,27,0,0.27377924984630914,0.21996700662184024,0.7129816655824711,0.022405145374686696,154,30,1.0,66,4.0606060606060606,1.6666666666666667,25.933333333333334,629,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,nonparticipants_only,,,10,0,10,0,0,0,0.1642716233037704,0.14054798838672078,0.4654256791199492,0.0061977598894502346,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,A,step_totals,,,,,,,,,,,,,,,,,,,,,77.90000000000009,,,18.5,0.237483953786906,0.0,0.0,47.0,0.6033376123234909,0.014778552905069797,0.1702127659574468,0.0,0,8,8,53,,37,36,47,6.000000000000003,0.0770218228498074,6.400000000000003,0.08215661103979455,30,32,38
20,A,reachability,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,all_agents,,,40,28,10,2,28,0,0.25100158621256674,0.18644513502965554,0.7244623989591723,0.021763106910345387,161,30,0.75,66,4.0606060606060606,1.6666666666666667,31.75,668,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,participants_only,,,30,28,0,2,28,0,0.2796624009885385,0.22786726338698088,0.7244623989591723,0.023731433619590868,161,30,1.0,66,4.0606060606060606,1.6666666666666667,25.666666666666668,668,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,nonparticipants_only,,,10,0,10,0,0,0,0.16501914188465158,0.14171611282672802,0.46309855072434947,0.0060008191391382314,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.20000000000009,,,19.0,0.22300469483568053,0.0,0.0,55.0,0.6455399061032857,0.014756205285746999,0.12727272727272726,0.0,0,7,14,33,,38,34,55,6.000000000000003,0.07042253521126757,5.200000000000002,0.061032863849765216,30,26,36
22,A,all_agents,,,40,30,10,0,30,0,0.2549800775015033,0.18755702999012708,0.7354839030008055,0.023025955017649292,168,30,0.75,67,4.298507462686567,1.671641791044776,31.925,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,participants_only,,,30,30,0,0,30,0,0.28471964330238403,0.22672792707004596,0.7354839030008055,0.025227053047138563,168,30,1.0,67,4.298507462686567,1.671641791044776,25.9,706,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,nonparticipants_only,,,10,0,10,0,0,0,0.16576138009886116,0.14265828758079963,0.4607830579707277,0.005809359640882499,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,A,step_totals,,,,,,,,,,,,,,,,,,,,,77.90000000000009,,,18.5,0.237483953786906,0.0,0.0,47.0,0.6033376123234909,0.014398088175937612,0.1276595744680851,0.08064516129032266,1,6,8,53,,37,36,47,6.000000000000003,0.0770218228498074,6.400000000000003,0.08215661103979455,30,32,38
23,A,all_agents,,,40,30,10,0,30,0,0.2589823124973551,0.18942261567079466,0.7460645468807733,0.02423610496141888,173,30,0.75,68,4.5588235294117645,1.6764705882352942,31.725,742,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,participants_only,,,30,30,0,0,30,0,0.2898104493794758,0.23002579351499367,0.7460645468807733,0.026638242429471364,173,30,1.0,68,4.5588235294117645,1.6764705882352942,25.633333333333333,742,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,nonparticipants_only,,,10,0,10,0,0,0,0.16649790185099295,0.1452491806937269,0.4584791426808741,0.005625204273788163,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.00000000000007,,,18.0,0.2142857142857141,0.0,0.0,55.0,0.6547619047619042,0.013305013161128261,0.07272727272727272,0.09090909090909097,1,4,15,32,,36,33,55,6.000000000000003,0.0714285714285714,5.000000000000002,0.05952380952380949,30,25,36
24,A,all_agents,,,40,30,10,0,30,0,0.26275130453426887,0.1903479652171205,0.7562219650055424,0.02544088657288311,175,30,0.75,69,4.826086956521739,1.6666666666666667,31.9,779,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,participants_only,,,30,30,0,0,30,0,0.29459201525538403,0.23324003004974475,0.7562219650055424,0.028050337603457043,175,30,1.0,69,4.826086956521739,1.6666666666666667,25.866666666666667,779,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,nonparticipants_only,,,10,0,10,0,0,0,0.16722917237092355,0.1473489212638887,0.4561867469674697,0.0054465631704524835,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,A,step_totals,,,,,,,,,,,,,,,,,,,,,77.90000000000008,,,18.5,0.23748395378690607,0.0,0.0,47.0,0.603337612323491,0.013764805476134248,0.02127659574468085,0.08064516129032266,1,1,8,53,,37,36,47,6.000000000000003,0.07702182284980741,6.400000000000003,0.08215661103979456,30,32,38
25,A,all_agents,,,40,30,10,0,30,0,0.2669363701736243,0.19274081613766847,0.7659730864053207,0.026658996392360194,180,30,0.75,69,4.826086956521739,1.6666666666666667,31.7,819,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A,participants_only,,,30,30,0,0,30,0,0.2999299378528496,0.2368756714695944,0.7659730864053207,0.02943379418579697,180,30,1.0,69,4.826086956521739,1.6666666666666667,25.6,819,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A,nonparticipants_only,,,10,0,10,0,0,0,0.16795566713594837,0.1485797316174025,0.45390581323263235,0.005271696913606402,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.00000000000009,,,18.0,0.21428571428571408,0.0,0.0,55.0,0.6547619047619041,0.01385365387234701,0.09090909090909091,0.0,0,5,15,32,,36,33,55,6.000000000000003,0.07142857142857138,5.000000000000002,0.059523809523809486,30,25,36
