step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
10,B,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,12,10,18,12,0,0.21945256493776633,0.18169104273938255,0.5778555538358253,0.01463628906449926,104,30,0.75,54,3.2037037037037037,1.5,32.3,324,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,12,0,18,12,0,0.23358068616717695,0.20056539781902807,0.5778555538358253,0.015555174369865091,104,30,1.0,54,3.2037037037037037,1.5,26.4,324,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.17706820124953446,0.13101061508259826,0.4376119110822999,0.009484387434726687,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.7000000000001,20.0,0.2181025081788438,0.1,0.001090512540894219,0.0,0.0,60.0,0.6543075245365314,0.013228724592802771,0.06666666666666667,0.08547008547008554,1,4,11,28,40,1,38,60,5.600000000000002,0.06106870229007629,6.000000000000003,0.06543075245365318,28,30,33
12,B,all_agents,,,40,14,10,16,14,0,0.223950383660587,0.18570184928700323,0.5947413316823923,0.01531741331729894,109,30,0.75,55,3.3454545454545452,1.490909090909091,32.2,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,14,0,16,14,0,0.23935007129394528,0.2057073062132874,0.5947413316823923,0.016402759310893165,109,30,1.0,55,3.3454545454545452,1.490909090909091,26.266666666666666,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.17775132076051214,0.13108563586683558,0.4354238515268884,0.009215570786056173,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.90000000000009,19.5,0.2324195470798567,,,0.0,0.0,52.0,0.6197854588796179,0.01470109450002555,0.07692307692307693,0.08064516129032266,1,4,8,47,39,,37,52,6.400000000000003,0.07628128724672224,6.000000000000003,0.0715137067938021,32,30,35
13,B,all_agents,,,40,18,10,12,18,0,0.22884646639820677,0.18706466601121655,0.6109516784150966,0.016242223687959342,114,30,0.75,55,3.3454545454545452,1.490909090909091,31.775,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,18,0,12,18,0,0.2456524733409842,0.2091142738465479,0.6109516784150966,0.017540821099676463,114,30,1.0,55,3.3454545454545452,1.490909090909091,25.7,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,nonparticipants_only,,,10,0,10,0,0,0,0.1784284455698746,0.13135776889329887,0.433246732269254,0.008957129020479803,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
