step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.50000000000009,19.5,0.21311475409836045,,,0.0,0.0,60.0,0.6557377049180322,0.015834431231386267,0.1,0.08333333333333341,1,6,28,10,39,,37,60,6.000000000000003,0.06557377049180324,6.000000000000003,0.06557377049180324,30,30,32
10,B,all_agents,,,40,9,10,21,9,0,0.20979069176183898,0.17515205120960836,0.5825143523117513,0.011847158320829458,85,30,0.75,42,3.1666666666666665,1.619047619047619,32.975,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,9,0,21,9,0,0.21826102709647996,0.18935589477738046,0.5825143523117513,0.01186869511246636,85,30,1.0,42,3.1666666666666665,1.619047619047619,27.3,292,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.18437968575791613,0.15681714532757346,0.5223093530243885,0.010921588977743549,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.40000000000009,20.0,0.23148148148148123,,,0.0,0.0,54.0,0.6249999999999993,0.01726508175217286,0.05555555555555555,0.08064516129032266,1,3,45,8,40,,38,54,6.400000000000003,0.07407407407407403,6.000000000000003,0.0694444444444444,32,30,32
10,B,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,10,10,20,10,0,0.21477408177597054,0.17731353423075485,0.5796017805501925,0.012096152400934573,91,30,0.75,43,3.3255813953488373,1.6046511627906976,32.7,319,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,10,0,20,10,0,0.22468760219682204,0.19052956356391995,0.5796017805501925,0.012205978098483712,91,30,1.0,43,3.3255813953488373,1.6046511627906976,26.933333333333334,319,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.18503352051341607,0.15846522295811155,0.5196978062592665,0.01058734066267148,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.1000000000001,19.5,0.21642619311875672,,,0.0,0.0,59.0,0.6548279689234178,0.014968715483315412,0.0847457627118644,0.08620689655172421,1,5,26,12,39,,35,59,5.600000000000002,0.062153163152053235,6.000000000000003,0.06659267480577133,28,30,32
12,B,all_agents,,,40,9,10,21,9,0,0.21977591473512856,0.1789348282878911,0.5767037716474416,0.01255680488588022,96,30,0.75,43,3.3255813953488373,1.6046511627906976,32.65,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,9,0,21,9,0,0.2311407996160451,0.19512103045090365,0.5767037716474416,0.012803958280621976,96,30,1.0,43,3.3255813953488373,1.6046511627906976,26.866666666666667,351,,,,,,,,,,,,,,,,,,,,,,,,,,,
