step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
10,A,all_agents,,,40,14,10,16,14,0,0.22198069428480874,0.18358916435523293,0.705275686241105,0.01685332805056096,93,30,0.75,33,2.484848484848485,1.2424242424242424,32.775,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,14,0,16,14,0,0.2409657196930094,0.20568008560202694,0.705275686241105,0.01768512442743958,93,30,1.0,33,2.484848484848485,1.2424242424242424,27.033333333333335,348,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.16502561806020688,0.13763503215868506,0.485048892030914,0.010032764642924817,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,88.1000000000001,0.1,0.0011350737797956856,19.0,0.21566401816118025,0.0,0.0,58.0,0.6583427922814976,0.015995169938666932,0.08620689655172414,0.09009009009009014,1,5,15,20,1,38,36,58,5.000000000000002,0.05675368898978429,6.000000000000003,0.06810442678774116,25,30,30
10,A,reachability,0.275,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,16,10,14,16,0,0.22695763317325834,0.1861077518405615,0.7170646587914609,0.017571903238378223,98,30,0.75,33,2.484848484848485,1.2424242424242424,32.275,381,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,16,0,14,16,0,0.2473468163678829,0.20492068406611402,0.7170646587914609,0.01852803456093696,98,30,1.0,33,2.484848484848485,1.2424242424242424,26.366666666666667,381,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.16579008358938474,0.13882997700069483,0.48262364757075943,0.009714883774574495,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.60000000000008,0.1,0.0011037527593818976,19.5,0.21523178807947002,0.0,0.0,59.0,0.6512141280353195,0.014829154053708495,0.0847457627118644,0.0,0,5,9,21,1,39,37,59,6.000000000000003,0.06622516556291388,6.000000000000003,0.06622516556291388,30,30,41
12,A,all_agents,,,40,18,10,12,18,0,0.23201364942435102,0.1864711621975355,0.7283820724398025,0.01823635253441669,110,30,0.75,34,2.7058823529411766,1.2352941176470589,32.05,417,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,18,0,12,18,0,0.2538355007070612,0.20630613213603977,0.7283820724398025,0.019274389384476367,110,30,1.0,34,2.7058823529411766,1.2352941176470589,26.066666666666666,417,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.16654809557622044,0.13813582711569136,0.48021052933290564,0.009407923663381008,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
