step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
13,D,all_agents,,,40,14,10,16,14,0,0.23673936960161032,0.19330600726912767,0.6228894134002467,0.017118807890758227,58,27,0.675,0,0.0,0.0,31.675,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,participants_only,,,30,14,0,16,14,0,0.25072206248613604,0.21134111581922843,0.6228894134002467,0.016838128002605344,58,27,0.9,0,0.0,0.0,25.566666666666666,370,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,nonparticipants_only,,,10,0,10,0,0,0,0.19479129094803307,0.15056587502433588,0.5834308378103605,0.015614659151581273,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,step_totals,,,,,,,,,,,,,,,,,,,,,91.6000000000001,,,20.0,0.21834061135371158,60.0,0.6550218340611347,0.0,0.0,0.014745135966314174,0.06666666666666667,0.0,0,4,25,10,,40,60,37,6.600000000000003,0.07205240174672485,5.000000000000002,0.05458515283842791,33,25,33
14,D,all_agents,,,40,15,10,15,15,0,0.24105142778345398,0.19315079662434376,0.6379738368642368,0.01774831796678753,60,27,0.675,0,0.0,0.0,31.725,401,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,participants_only,,,30,15,0,15,15,0,0.25627354897794735,0.21028441024013228,0.6379738368642368,0.017660139225346868,60,27,0.9,0,0.0,0.0,25.633333333333333,401,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,nonparticipants_only,,,10,0,10,0,0,0,0.1953850641999739,0.15004692111861612,0.5805136836213087,0.015232298507191398,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,step_totals,,,,,,,,,,,,,,,,,,,,,81.0000000000001,,,20.0,0.2469135802469133,49.0,0.6049382716049375,0.0,0.0,0.01488485271655674,0.04081632653061224,0.0,0,2,50,6,,40,49,36,7.0000000000000036,0.08641975308641969,5.000000000000002,0.06172839506172834,35,25,42
15,D,all_agents,,,40,19,10,11,19,0,0.24627400535313954,0.19438365900784732,0.6524548833896673,0.018630034696902956,70,29,0.725,0,0.0,0.0,31.4,441,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,participants_only,,,30,19,0,11,19,0,0.2630404841385891,0.2122263609583358,0.6524548833896673,0.01876328362635501,70,29,0.9666666666666667,0,0.0,0.0,25.2,441,,,,,,,,,,,,,,,,,,,,,,,,,,,
