step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.18537527639118537,0.15018673749835637,0.6641816506115074,0.01579343959644863,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.9000000000001,20.0,0.23014959723820455,0.1,0.0011507479861910229,0.0,0.0,53.0,0.609896432681242,0.013783214835070827,0.018867924528301886,0.14388489208633112,2,1,1,44,40,1,39,53,6.000000000000003,0.06904487917146139,7.800000000000004,0.08975834292289983,30,39,40
13,B,all_agents,,,40,15,10,15,15,0,0.22688682344794653,0.187580196606041,0.6723177893237912,0.017272399004279765,93,30,0.75,49,4.081632653061225,1.530612244897959,31.7,373,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,15,0,15,15,0,0.24050913298992352,0.20014808482279758,0.6723177893237912,0.017146849330795844,93,30,1.0,49,4.081632653061225,1.530612244897959,25.6,373,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,nonparticipants_only,,,10,0,10,0,0,0,0.1860198948220155,0.14999518005219198,0.6608607423584498,0.015422240217642278,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.0000000000001,20.0,0.21978021978021953,,,0.0,0.0,58.0,0.6373626373626367,0.0147413554537049,0.034482758620689655,0.15384615384615402,2,2,5,36,40,,39,58,6.000000000000003,0.0659340659340659,7.0000000000000036,0.07692307692307687,30,35,37
14,B,all_agents,,,40,17,10,13,17,0,0.23121834467551922,0.1948884022588043,0.6854250777508395,0.01792737529843076,101,30,0.75,49,4.081632653061225,1.530612244897959,31.625,403,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,participants_only,,,30,17,0,13,17,0,0.24607119982318792,0.2041354960167557,0.6854250777508395,0.01800122303141591,101,30,1.0,49,4.081632653061225,1.530612244897959,25.5,403,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,nonparticipants_only,,,10,0,10,0,0,0,0.18665977923251298,0.1511834093605593,0.6575564386466576,0.015058544427023755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,step_totals,,,,,,,,,,,,,,,,,,,,,83.8000000000001,20.0,0.23866348448687325,,,0.0,0.0,50.0,0.5966587112171831,0.014300634026219679,0.16,0.0,0,8,1,49,40,,39,50,6.000000000000003,0.071599045346062,7.800000000000004,0.09307875894988062,30,39,42
15,B,all_agents,,,40,22,10,8,22,0,0.23549626427204887,0.1939139602475103,0.6980080746408059,0.01870109330710629,106,30,0.75,49,4.081632653061225,1.530612244897959,31.25,432,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,participants_only,,,30,22,0,8,22,0,0.25156381491263546,0.21058775425870735,0.6980080746408059,0.018999645819201758,106,30,1.0,49,4.081632653061225,1.530612244897959,25.0,432,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,nonparticipants_only,,,10,0,10,0,0,0,0.18729361235028902,0.15259124607155156,0.6542686564534242,0.014707441567766105,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.60000000000011,20.0,0.22573363431151214,,,0.0,0.0,56.0,0.632054176072234,0.013325823789590853,0.08928571428571429,0.0,0,5,7,35,40,,39,56,6.000000000000003,0.06772009029345367,6.600000000000003,0.07449209932279904,30,33,40
16,B,all_agents,,,40,24,10,6,24,0,0.2395160680774771,0.19338674775681697,0.7100877516551737,0.0195911366422779,107,30,0.75,49,4.081632653061225,1.530612244897959,31.3,464,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,participants_only,,,30,24,0,6,24,0,0.256713997181871,0.21030182394453667,0.7100877516551737,0.020149912249572677,107,30,1.0,49,4.081632653061225,1.530612244897959,25.066666666666666,464,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,nonparticipants_only,,,10,0,10,0,0,0,0.18792228076429549,0.15240154833988073,0.6509973131711572,0.014365584634636478,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.8000000000001,20.0,0.2506265664160398,,,0.0,0.0,46.0,0.5764411027568915,0.014191539870847798,0.021739130434782608,0.0,0,1,1,59,40,,39,46,6.000000000000003,0.07518796992481197,7.800000000000004,0.09774436090225558,30,39,49
17,B,all_agents,,,40,25,10,5,25,0,0.2437559325883772,0.1970837471986227,0.7216842415889667,0.02045071521830395,116,30,0.75,49,4.081632653061225,1.530612244897959,31.1,496,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,participants_only,,,30,25,0,5,25,0,0.26215932213496485,0.2155790729433552,0.7216842415889667,0.02123521260582067,116,30,1.0,49,4.081632653061225,1.530612244897959,24.8,496,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,nonparticipants_only,,,10,0,10,0,0,0,0.18854576394861422,0.15356422349373683,0.6477423266053014,0.014033006094112371,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.30000000000011,19.5,0.22595596755504027,,,0.0,0.0,54.0,0.6257242178447269,0.013639668802184946,0.16666666666666666,0.0,0,9,6,37,39,,39,54,6.000000000000003,0.06952491309385857,6.800000000000003,0.07879490150637306,30,34,42
18,B,all_agents,,,40,27,10,3,27,0,0.2477896079747353,0.1977917960827306,0.732816871925408,0.02139287450962823,121,30,0.75,49,4.081632653061225,1.530612244897959,31.225,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,participants_only,,,30,27,0,3,27,0,0.26733145480091425,0.2177400942192148,0.732816871925408,0.02242642585377724,121,30,1.0,49,4.081632653061225,1.530612244897959,24.966666666666665,530,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,nonparticipants_only,,,10,0,10,0,0,0,0.1891640674961983,0.1529195336264091,0.6445036149722749,0.013709615148647094,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,step_totals,,,,,,,,,,,,,,,,,,,,,79.60000000000011,20.0,0.2512562814070348,,,0.0,0.0,46.0,0.5778894472361801,0.014265378594784857,0.10869565217391304,0.0,0,5,2,59,40,,39,46,6.000000000000003,0.07537688442211049,7.600000000000004,0.0954773869346733,30,38,49
19,B,all_agents,,,40,27,10,3,27,0,0.2520462601793652,0.20161538519305408,0.7435041970483917,0.02227625781055267,126,30,0.75,49,4.081632653061225,1.530612244897959,31.0,564,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,participants_only,,,30,27,0,3,27,0,0.27280273549395884,0.22297922586677482,0.7435041970483917,0.023512707145197754,126,30,1.0,49,4.081632653061225,1.530612244897959,24.666666666666668,564,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,nonparticipants_only,,,10,0,10,0,0,0,0.18977683423558422,0.15290439981667692,0.6412810968974135,0.01339693459679339,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.7000000000001,19.5,0.22753792298716424,,,0.0,0.0,54.0,0.6301050175029164,0.013784689817953652,0.09259259259259259,0.0,0,5,9,36,39,,39,54,6.000000000000003,0.0700116686114352,6.200000000000003,0.07234539089848303,30,31,42
