step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
14,A,participants_only,,,30,20,0,10,20,0,0.26368979434822454,0.22067697023011873,0.6654698547628332,0.017843559184922166,116,30,1.0,52,3.0576923076923075,1.4038461538461537,25.633333333333333,445,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,nonparticipants_only,,,10,0,10,0,0,0,0.17746873329876864,0.1574934684143411,0.6363810548063863,0.012567970327789663,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.6000000000001,19.5,0.22780373831775677,0.1,0.0011682242990654194,0.0,0.0,54.0,0.6308411214953265,0.01580069064124524,0.07407407407407407,0.08264462809917363,1,4,42,9,39,1,38,54,6.000000000000003,0.07009345794392519,6.000000000000003,0.07009345794392519,30,30,32
15,A,all_agents,,,40,23,10,7,23,0,0.2469933674718525,0.19613897381567647,0.6788510605723198,0.018853160741401566,123,30,0.75,53,3.2264150943396226,1.3962264150943395,31.375,482,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,participants_only,,,30,23,0,7,23,0,0.26994005267793497,0.21957358537896812,0.6788510605723198,0.018946778296241456,123,30,1.0,53,3.2264150943396226,1.3962264150943395,25.166666666666668,482,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,nonparticipants_only,,,10,0,10,0,0,0,0.17815331185360514,0.15861746703095775,0.6331991495323543,0.01225370373351738,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,step_totals,,,,,,,,,,,,,,,,,,,,,89.00000000000011,20.0,0.22471910112359522,,,0.0,0.0,57.0,0.6404494382022464,0.014888558656940302,0.10526315789473684,0.08333333333333341,1,6,29,10,40,,36,57,6.000000000000003,0.0674157303370786,6.000000000000003,0.0674157303370786,30,30,39
16,A,all_agents,,,40,24,10,6,24,0,0.25138329328349046,0.1980561875099836,0.691697018149427,0.019760006395905128,126,30,0.75,54,3.388888888888889,1.3888888888888888,31.275,517,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,participants_only,,,30,24,0,6,24,0,0.27556669673796813,0.22309214476510902,0.691697018149427,0.02002539789812192,126,30,1.0,54,3.388888888888889,1.3888888888888888,25.033333333333335,517,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,nonparticipants_only,,,10,0,10,0,0,0,0.1788330829200576,0.15875990444154678,0.6300331537846926,0.011945787857550258,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.50000000000009,19.5,0.23353293413173629,,,0.0,0.0,52.0,0.6227544910179634,0.014622608091539596,0.038461538461538464,0.08333333333333341,1,2,48,9,39,,37,52,6.000000000000003,0.07185628742514966,6.000000000000003,0.07185628742514966,30,30,36
17,A,all_agents,,,40,26,10,4,26,0,0.25596416528182003,0.20011004710636024,0.7040291374234499,0.020796238012852564,132,30,0.75,54,3.388888888888889,1.3888888888888888,31.225,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,participants_only,,,30,26,0,4,26,0,0.28144978429170053,0.22843132596656393,0.7040291374234499,0.021247849080542655,132,30,1.0,54,3.388888888888889,1.3888888888888888,24.966666666666665,555,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,nonparticipants_only,,,10,0,10,0,0,0,0.17950730825217864,0.15949146387852062,0.6268829880157691,0.011647203493980926,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,step_totals,,,,,,,,,,,,,,,,,,,,,85.6000000000001,20.0,0.23364485981308386,,,0.0,0.0,54.0,0.6308411214953265,0.014772499742690032,0.1111111111111111,0.0,0,6,32,12,40,,35,54,5.600000000000002,0.0654205607476635,6.000000000000003,0.07009345794392519,28,30,41
18,A,all_agents,,,40,27,10,3,27,0,0.26026300603213326,0.20119901870687684,0.7158679719265119,0.021858707251268577,139,30,0.75,55,3.618181818181818,1.4,31.225,593,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,participants_only,,,30,27,0,3,27,0,0.2869587087218822,0.23328864067301164,0.7158679719265119,0.02250823283097135,139,30,1.0,55,3.618181818181818,1.4,24.966666666666665,593,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,nonparticipants_only,,,10,0,10,0,0,0,0.1801758979628864,0.15892235025147225,0.6237485730756903,0.011358204006966632,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,step_totals,,,,,,,,,,,,,,,,,,,,,82.3000000000001,18.5,0.2247873633049815,,,0.0,0.0,52.0,0.6318347509112994,0.01459595093562238,0.11538461538461539,0.08474576271186447,1,6,47,10,37,,36,52,5.8000000000000025,0.07047387606318342,6.000000000000003,0.07290400972053458,29,30,33
19,A,all_agents,,,40,27,10,3,27,0,0.2645521861915071,0.20406989626917582,0.7272332530494514,0.022951079665282315,144,30,0.75,55,3.618181818181818,1.4,31.175,630,,,,,,,,,,,,,,,,,,,,,,,,,,,
