step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
13,A,participants_only,,,30,14,0,16,14,0,0.24661503365340404,0.21317587208719327,0.6908507453005813,0.015484065953872075,98,30,1.0,45,2.7555555555555555,1.3555555555555556,26.2,388,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,nonparticipants_only,,,10,0,10,0,0,0,0.1664322430096254,0.14763221767469342,0.443523742500809,0.006966648180538622,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.4000000000001,,,20.0,0.22123893805309708,58.0,0.6415929203539815,0.0,0.0,0.015170920427108617,0.017241379310344827,0.0,0,1,8,26,,40,58,39,6.400000000000003,0.07079646017699111,6.000000000000003,0.06637168141592915,32,30,38
14,A,all_agents,,,40,15,10,15,15,0,0.23133945929962316,0.18279079283920185,0.703216715488558,0.01534026420470646,105,30,0.75,45,2.7555555555555555,1.3555555555555556,32.025,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,participants_only,,,30,15,0,15,15,0,0.25272753238568574,0.22145726481872968,0.703216715488558,0.01638050477191805,105,30,1.0,45,2.7555555555555555,1.3555555555555556,26.033333333333335,422,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,nonparticipants_only,,,10,0,10,0,0,0,0.16717524004143544,0.14948332689691143,0.44130612378830497,0.00673014645905464,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,A,step_totals,,,,,,,,,,,,,,,,,,,,,83.90000000000009,,,19.5,0.2324195470798567,52.0,0.6197854588796179,0.0,0.0,0.015499729495923485,0.1346153846153846,0.0,0,7,8,43,,39,52,35,6.400000000000003,0.07628128724672224,6.000000000000003,0.0715137067938021,32,30,34
15,A,all_agents,,,40,16,10,14,16,0,0.23588171247227477,0.18389332904339453,0.7150880468690157,0.016119449188498367,112,30,0.75,45,2.7555555555555555,1.3555555555555556,31.75,453,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,participants_only,,,30,16,0,14,16,0,0.2585383399753713,0.22618635194538378,0.7150880468690157,0.017271280952365964,112,30,1.0,45,2.7555555555555555,1.3555555555555556,25.666666666666668,453,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,nonparticipants_only,,,10,0,10,0,0,0,0.16791182996298504,0.15099207224459776,0.4390995931693634,0.006504080659126713,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,A,step_totals,,,,,,,,,,,,,,,,,,,,,87.6000000000001,0.2,0.002283105022831048,20.0,0.2283105022831048,55.0,0.6278538812785381,0.0,0.0,0.014230270816469003,0.12727272727272726,0.0,0,7,7,32,2,40,55,40,6.400000000000003,0.07305936073059356,6.000000000000003,0.06849315068493146,32,30,43
16,A,all_agents,,,40,16,10,14,16,0,0.2407610402477022,0.18887072783053338,0.7264845249942551,0.017138322261556132,115,30,0.75,45,2.7555555555555555,1.3555555555555556,31.65,493,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,participants_only,,,30,16,0,14,16,0,0.2648004021233514,0.23191686494075037,0.7264845249942551,0.018444560533577875,115,30,1.0,45,2.7555555555555555,1.3555555555555556,25.533333333333335,493,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,nonparticipants_only,,,10,0,10,0,0,0,0.16864295462075488,0.15348800901185605,0.4369040952035166,0.006284916412829957,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,A,step_totals,,,,,,,,,,,,,,,,,,,,,81.90000000000009,,,18.5,0.22588522588522564,51.0,0.622710622710622,0.0,0.0,0.016276951622369754,0.058823529411764705,0.0,0,3,9,46,,37,51,33,6.400000000000003,0.07814407814407809,6.000000000000003,0.07326007326007321,32,30,34
17,A,all_agents,,,40,19,10,11,19,0,0.2452913950129086,0.18995077456168918,0.7374251439944849,0.018045368548763575,120,30,0.75,45,2.7555555555555555,1.3555555555555556,31.4,527,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,participants_only,,,30,19,0,11,19,0,0.2705990522334851,0.2336947318077843,0.7374251439944849,0.019474163656105804,120,30,1.0,45,2.7555555555555555,1.3555555555555556,25.2,527,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,nonparticipants_only,,,10,0,10,0,0,0,0.16936842335117894,0.15414543845838166,0.434719574727499,0.006073253058806492,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,A,step_totals,,,,,,,,,,,,,,,,,,,,,86.4000000000001,,,20.0,0.2314814814814812,54.0,0.6249999999999992,0.0,0.0,0.014424160925986489,0.09259259259259259,0.0,0,5,8,35,,40,54,40,6.400000000000003,0.07407407407407401,6.000000000000003,0.06944444444444439,32,30,44
18,A,all_agents,,,40,24,10,6,24,0,0.24941524298549236,0.19548546915000137,0.7479281382347055,0.019042095801505066,127,30,0.75,45,2.7555555555555555,1.3555555555555556,31.4,561,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,participants_only,,,30,24,0,6,24,0,0.2758575163097777,0.23367849430810694,0.7479281382347055,0.020636526875471514,127,30,1.0,45,2.7555555555555555,1.3555555555555556,25.2,561,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,nonparticipants_only,,,10,0,10,0,0,0,0.1700884230126364,0.15704608098409326,0.4325459768538615,0.005868476756931194,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,A,step_totals,,,,,,,,,,,,,,,,,,,,,80.7000000000001,,,18.5,0.22924411400247802,50.0,0.6195786864931838,0.0,0.0,0.014311113360894046,0.14,0.0,0,7,10,47,,37,50,33,6.200000000000003,0.07682775712515483,6.000000000000003,0.07434944237918209,31,30,35
19,A,all_agents,,,40,26,10,4,26,0,0.2539097738032693,0.19841011419295057,0.7580110127053172,0.02006880939873675,134,30,0.75,45,2.7555555555555555,1.3555555555555556,31.325,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,participants_only,,,30,26,0,4,26,0,0.28161203325937373,0.2365842495412339,0.7580110127053172,0.021798533754771945,134,30,1.0,45,2.7555555555555555,1.3555555555555556,25.1,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,nonparticipants_only,,,10,0,10,0,0,0,0.17080299543495597,0.15990665698164494,0.4303832469695922,0.005670654182951227,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,A,step_totals,,,,,,,,,,,,,,,,,,,,,84.6000000000001,,,20.0,0.23640661938534252,52.0,0.6146572104018906,0.0,0.0,0.014677350953973493,0.1346153846153846,0.0,0,7,7,38,,40,52,40,6.600000000000003,0.07801418439716307,6.000000000000003,0.07092198581560279,33,30,47
