step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
17,D,participants_only,,,30,24,0,6,24,0,0.2799890668243475,0.2078287251132983,0.7785301576887202,0.02423973112542905,93,29,0.9666666666666667,0,0.0,0.0,24.9,562,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,D,nonparticipants_only,,,10,0,10,0,0,0,0.17024496895213942,0.1403725254415201,0.4683247199679118,0.008024697657324824,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.00000000000009,,,19.0,0.22093023255813932,0.0,0.0,56.0,0.6511627906976738,0.013179967743575577,0.08928571428571429,0.0,0,5,14,27,,38,37,56,5.600000000000002,0.0651162790697674,5.400000000000002,0.06279069767441857,28,27,43
18,D,all_agents,,,40,27,10,3,27,0,0.25665329035956896,0.19250386751863358,0.7873889513811715,0.023411021691978673,97,29,0.725,0,0.0,0.0,31.275,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,D,participants_only,,,30,27,0,3,27,0,0.2852154844296787,0.21296496523710698,0.7873889513811715,0.025359926447383885,97,29,0.9666666666666667,0,0.0,0.0,25.033333333333335,598,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,D,nonparticipants_only,,,10,0,10,0,0,0,0.1709667081492397,0.14151750497350662,0.4659830963680722,0.007774720264579681,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,D,step_totals,,,,,,,,,,,,,,,,,,,,,79.20000000000009,,,18.0,0.22727272727272702,0.0,0.0,50.0,0.6313131313131306,0.014570192647129129,0.08,0.0,0,4,12,39,,36,33,50,5.600000000000002,0.07070707070707066,5.600000000000002,0.07070707070707066,28,28,39
19,D,all_agents,,,40,28,10,2,28,0,0.2606473103856365,0.19390019080061155,0.7958933933259247,0.024559135089950068,101,29,0.725,0,0.0,0.0,31.175,633,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,D,participants_only,,,30,28,0,2,28,0,0.29030215485344185,0.21641328607180954,0.7958933933259247,0.02671687491737507,101,29,0.9666666666666667,0,0.0,0.0,24.9,633,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,D,nonparticipants_only,,,10,0,10,0,0,0,0.17168277698222037,0.14438979233090965,0.46365318088623186,0.007532998002758336,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
