step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_make,count_idle,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
9,D,all_agents,,,40,11,10,19,11,0,0.21188533249476818,0.1708921623662048,0.602622899669906,0.015474242185390001,34,21,0.525,0,0.0,0.0,32.7,285,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,participants_only,,,30,11,0,19,11,0,0.21926905674048566,0.1736181244576806,0.588360610643754,0.015858839501921854,34,21,0.7,0,0.0,0.0,26.933333333333334,285,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,nonparticipants_only,,,10,0,10,0,0,0,0.18973415975761576,0.14111558009557615,0.602622899669906,0.013666217630952888,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.70000000000009,20.0,0.22296544035674448,0.1,0.0011148272017837224,60.0,0.6688963210702334,0.0,0.0,0.016259663406220686,0.03333333333333333,0.0,0,2,16,22,40,1,60,36,5.8000000000000025,0.06465997770345593,3.800000000000001,0.04236343366778147,29,19,33
10,D,all_agents,,,40,12,10,18,12,0,0.21688714749877452,0.17377538300427983,0.6014669135202523,0.015864532868338593,38,21,0.525,0,0.0,0.0,32.475,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,participants_only,,,30,12,0,18,12,0,0.22572870251263955,0.17724972506421996,0.6014669135202523,0.01641232342343825,38,21,0.7,0,0.0,0.0,26.633333333333333,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.1903624824571795,0.14505821605728125,0.5996097851715565,0.013283084062281209,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,88.6000000000001,19.5,0.22009029345372438,0.1,0.001128668171557561,58.0,0.6546275395033853,0.0,0.0,0.015267740494634781,0.06896551724137931,0.0,0,4,13,32,39,1,58,38,7.0000000000000036,0.07900677200902931,4.000000000000001,0.04514672686230244,35,20,30
10,D,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,12,10,18,12,0,0.22227461501455448,0.17788745172386852,0.6039571149263346,0.01636827098780613,42,21,0.525,0,0.0,0.0,32.125,350,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,participants_only,,,30,12,0,18,12,0,0.2327042277208693,0.18308151156151659,0.6039571149263346,0.017086187015614835,42,21,0.7,0,0.0,0.0,26.166666666666668,350,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,nonparticipants_only,,,10,0,10,0,0,0,0.19098577689560997,0.1489809021731473,0.5966117362456987,0.012909201049935322,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.00000000000009,19.0,0.21348314606741553,,,60.0,0.6741573033707858,0.0,0.0,0.01623851357548081,0.06666666666666667,0.0,0,4,15,22,38,,60,36,6.000000000000003,0.06741573033707862,4.000000000000001,0.044943820224719065,30,20,34
12,D,all_agents,,,40,15,10,15,15,0,0.226862847990608,0.18222765145654488,0.6197988303292813,0.01700634215739474,46,23,0.575,0,0.0,0.0,32.325,383,,,,,,,,,,,,,,,,,,,,,,,,,,,
