step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_missing_asset,reject_time_budget_exceeded,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,86.2000000000001,,,20.0,0.2320185614849185,56.0,0.6496519721577718,0.0,0.0,0.015854461204549378,0.07142857142857142,0.0,0,4,41,13,,40,56,39,4.000000000000001,0.046403712296983715,6.200000000000003,0.07192575406032477,20,31,29
10,D,reachability,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,12,10,18,12,0,0.21822430156575942,0.17263934818623994,0.6512564548011585,0.016178690071638396,46,21,0.525,0,0.0,0.0,32.8,323,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,participants_only,,,30,12,0,18,12,0,0.2366299622377368,0.18755722206705933,0.6512564548011585,0.016753596475939592,46,21,0.7,0,0.0,0.0,27.066666666666666,323,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,nonparticipants_only,,,10,0,10,0,0,0,0.16300731954982725,0.1264108205076201,0.5916237526384872,0.010388750721471092,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,step_totals,,,,,,,,,,,,,,,,,,,,,90.40000000000009,,,20.0,0.22123893805309713,60.0,0.6637168141592914,0.0,0.0,0.014043428424205286,0.11666666666666667,0.0,0,7,28,15,,40,60,39,4.000000000000001,0.044247787610619434,6.400000000000003,0.07079646017699111,20,32,31
12,D,all_agents,,,40,14,10,16,14,0,0.2226687277663307,0.17479638794685565,0.6480001725271527,0.01694644498801389,53,23,0.575,0,0.0,0.0,32.875,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,participants_only,,,30,14,0,16,14,0,0.24229920516922063,0.1931109061915044,0.6480001725271527,0.017689794999409786,53,23,0.7666666666666667,0,0.0,0.0,27.166666666666668,354,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,nonparticipants_only,,,10,0,10,0,0,0,0.16377729555766088,0.12696053229499946,0.5886656338752948,0.010092127237041731,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,step_totals,,,,,,,,,,,,,,,,,,,,,79.80000000000008,,,20.0,0.25062656641603986,49.0,0.6140350877192976,0.0,0.0,0.015297117102492049,0.14285714285714285,0.0,0,7,53,9,,40,49,39,4.200000000000001,0.05263157894736838,6.600000000000003,0.08270676691729319,21,33,36
13,D,all_agents,,,40,17,10,13,17,0,0.22744875069021375,0.17611084165106516,0.6447601716645169,0.017706834562183967,63,25,0.625,0,0.0,0.0,32.4,385,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,participants_only,,,30,17,0,13,17,0,0.24841783002155376,0.19603276270085723,0.6447601716645169,0.0185824830879825,63,25,0.8333333333333334,0,0.0,0.0,26.533333333333335,385,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,nonparticipants_only,,,10,0,10,0,0,0,0.16454151269619371,0.13029983474018864,0.5857223057059183,0.009803461528740003,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,D,step_totals,,,,,,,,,,,,,,,,,,,,,90.80000000000008,,,20.0,0.22026431718061654,60.0,0.6607929515418496,0.0,0.0,0.014219104212600269,0.16666666666666666,0.0,0,10,27,14,,40,60,39,4.600000000000001,0.05066079295154182,6.200000000000003,0.06828193832599116,23,31,31
14,D,all_agents,,,40,19,10,11,19,0,0.23195871961066952,0.17586681952380015,0.6532050163246619,0.018502987419743832,71,25,0.625,0,0.0,0.0,32.475,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,participants_only,,,30,19,0,11,19,0,0.25417874347394775,0.19973251327876834,0.6532050163246619,0.019519772765535792,71,25,0.8333333333333334,0,0.0,0.0,26.633333333333333,418,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,nonparticipants_only,,,10,0,10,0,0,0,0.16529864802083483,0.13030595751992813,0.5827936941773887,0.009527877856552097,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,D,step_totals,,,,,,,,,,,,,,,,,,,,,80.20000000000009,,,20.0,0.249376558603491,49.0,0.610972568578553,0.0,0.0,0.015441137131741335,0.16326530612244897,0.0,0,8,52,9,,40,49,38,5.000000000000002,0.06234413965087277,6.200000000000003,0.07730673316708224,25,31,35
15,D,all_agents,,,40,21,10,9,21,0,0.2366666540488512,0.18073659702711156,0.6670768156716754,0.019340289438144337,80,27,0.675,0,0.0,0.0,32.1,451,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,D,participants_only,,,30,21,0,9,21,0,0.2602052102166108,0.2052707546490702,0.6670768156716754,0.020485262742476622,80,27,0.9,0,0.0,0.0,26.133333333333333,451,,,,,,,,,,,,,,,,,,,,,,,,,,,
