step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_make,time_share_make,time_practice,time_share_practice,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_make,count_practice,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
9,B,all_agents,,,40,14,10,16,14,0,0.20993909080912646,0.1670289652370636,0.667975503665796,0.014658648570072468,88,30,0.75,49,2.8979591836734695,1.4081632653061225,33.55,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,participants_only,,,30,14,0,16,14,0,0.22259831632939497,0.18497904021205738,0.667975503665796,0.016029387358755635,88,30,1.0,49,2.8979591836734695,1.4081632653061225,28.066666666666666,280,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,nonparticipants_only,,,10,0,10,0,0,0,0.17196141424832098,0.1439996624340356,0.49538402845147855,0.008623360314746755,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,B,step_totals,,,,,,,,,,,,,,,,,,,,,91.0000000000001,0.2,0.0021978021978021956,59.0,0.6483516483516476,20.0,0.21978021978021953,0.0,0.0,0.015705265676187522,0.06779661016949153,0.16666666666666682,2,4,10,20,2,59,40,38,6.000000000000003,0.0659340659340659,5.8000000000000025,0.06373626373626369,30,29,35
10,B,all_agents,,,40,16,10,14,16,0,0.21533644833690735,0.1738248997435974,0.6646356261474671,0.015294457030792288,94,30,0.75,51,3.1372549019607843,1.411764705882353,33.225,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,participants_only,,,30,16,0,14,16,0,0.22955308172756123,0.18766810840534287,0.6646356261474671,0.01681210915120885,94,30,1.0,51,3.1372549019607843,1.411764705882353,27.633333333333333,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,nonparticipants_only,,,10,0,10,0,0,0,0.17268654816494572,0.14327966412186544,0.49290710830922113,0.00831614868997154,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,B,step_totals,,,,,,,,,,,,,,,,,,,,,88.8000000000001,,,57.0,0.6418918918918912,20.0,0.22522522522522498,0.0,0.0,0.016246136378154197,0.07017543859649122,0.16949152542372894,2,4,11,29,,57,40,36,6.000000000000003,0.06756756756756753,5.8000000000000025,0.06531531531531527,30,29,31
10,B,reachability,0.35,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,all_agents,,,40,16,10,14,16,0,0.22023765584051044,0.17513510054536002,0.6780502011015684,0.015895625296756664,100,30,0.75,52,3.25,1.4038461538461537,32.85,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,participants_only,,,30,16,0,14,16,0,0.23584883562020553,0.1912204876961194,0.6780502011015684,0.017544269429738336,100,30,1.0,52,3.25,1.4038461538461537,27.133333333333333,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,nonparticipants_only,,,10,0,10,0,0,0,0.1734041165014252,0.1425632658012561,0.490442572767675,0.008025185688444124,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.20000000000009,0.1,0.0011086474501108637,59.0,0.6541019955654096,19.5,0.2161862527716184,0.0,0.0,0.014633291322850597,0.0847457627118644,0.08547008547008554,1,5,11,17,1,59,39,36,6.000000000000003,0.06651884700665185,5.600000000000002,0.06208425720620839,30,28,36
12,B,all_agents,,,40,17,10,13,17,0,0.225082221884024,0.17892255645180913,0.6746599500960606,0.01665098002868989,103,30,0.75,54,3.537037037037037,1.4444444444444444,32.625,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,participants_only,,,30,17,0,13,17,0,0.24207151215235728,0.19378953775194552,0.6746599500960606,0.01846363089851016,103,30,1.0,54,3.537037037037037,1.4444444444444444,26.833333333333332,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,nonparticipants_only,,,10,0,10,0,0,0,0.1741143510790241,0.14399199664681392,0.4879903599038366,0.007749395613368869,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.20000000000007,0.1,0.001160092807424593,55.0,0.6380510440835261,19.5,0.22621809744779564,0.0,0.0,0.01527168341241741,0.01818181818181818,0.17094017094017108,2,1,11,33,1,55,39,36,6.000000000000003,0.06960556844547561,5.600000000000002,0.06496519721577723,30,28,31
13,B,all_agents,,,40,18,10,12,18,0,0.22983262201189072,0.1799910783262494,0.6876735520922181,0.017479219826767176,106,30,0.75,54,3.537037037037037,1.4444444444444444,32.225,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,participants_only,,,30,18,0,12,18,0,0.2481707213176607,0.19442689112799522,0.6876735520922181,0.019465608654305227,106,30,1.0,54,3.537037037037037,1.4444444444444444,26.3,410,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,nonparticipants_only,,,10,0,10,0,0,0,0.17481832409458073,0.1466602281819651,0.48555040810431743,0.007484622710373645,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.1000000000001,,,59.0,0.6548279689234178,19.5,0.21642619311875672,0.0,0.0,0.014273813145376483,0.05084745762711865,0.0,0,3,12,17,,59,39,37,6.000000000000003,0.06659267480577133,5.600000000000002,0.062153163152053235,30,28,37
14,B,all_agents,,,40,21,10,9,21,0,0.23464940649495664,0.18136664384344617,0.684235184331757,0.01828338517892496,112,30,0.75,55,3.709090909090909,1.4363636363636363,32.05,445,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,participants_only,,,30,21,0,9,21,0,0.2543606971171098,0.19819151929319268,0.684235184331757,0.02041277446329104,112,30,1.0,55,3.709090909090909,1.4363636363636363,26.066666666666666,445,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,nonparticipants_only,,,10,0,10,0,0,0,0.17551553462849723,0.14946249620029295,0.48312265606379584,0.007232797589934936,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,B,step_totals,,,,,,,,,,,,,,,,,,,,,85.30000000000008,,,54.0,0.6330597889800698,19.5,0.2286049237983585,0.0,0.0,0.015411452208563565,0.09259259259259259,0.08474576271186447,1,5,11,36,,54,39,36,6.000000000000003,0.07033997655334111,5.8000000000000025,0.06799531066822974,30,29,33
15,B,all_agents,,,40,21,10,9,21,0,0.23910578028971088,0.18574387119419566,0.6968657769584867,0.01914809418053365,117,30,0.75,55,3.709090909090909,1.4363636363636363,31.675,476,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,participants_only,,,30,21,0,9,21,0,0.2600722137414358,0.20017100565011797,0.6968657769584867,0.021441787587529213,117,30,1.0,55,3.709090909090909,1.4363636363636363,25.566666666666666,476,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,nonparticipants_only,,,10,0,10,0,0,0,0.17620647993453611,0.15165510285217362,0.48070704278347687,0.006991917979319642,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,B,step_totals,,,,,,,,,,,,,,,,,,,,,90.1000000000001,,,59.0,0.6548279689234178,19.5,0.21642619311875672,0.0,0.0,0.013555697881934727,0.0847457627118644,0.0,0,5,12,16,,59,39,37,6.000000000000003,0.06659267480577133,5.600000000000002,0.062153163152053235,30,28,40
16,B,all_agents,,,40,22,10,8,22,0,0.24351171453958598,0.1867451273294734,0.6933814480736943,0.020121879592546764,124,30,0.75,55,3.709090909090909,1.4363636363636363,31.75,512,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,participants_only,,,30,22,0,8,22,0,0.2657184912472092,0.20353892746556124,0.6933814480736943,0.022602852677748298,124,30,1.0,55,3.709090909090909,1.4363636363636363,25.666666666666668,512,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,nonparticipants_only,,,10,0,10,0,0,0,0.1768913844167164,0.15464713167109914,0.47830350756955947,0.006761269156035322,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.6000000000001,,,51.0,0.6327543424317611,18.0,0.2233250620347392,0.0,0.0,0.015147516683987483,0.13725490196078433,0.0,0,7,12,40,,51,36,33,6.000000000000003,0.0744416873449131,5.600000000000002,0.06947890818858556,30,28,33
17,B,all_agents,,,40,22,10,8,22,0,0.2478151743723204,0.18731974649449612,0.7056461901507465,0.021153097878664456,130,30,0.75,55,3.709090909090909,1.4363636363636363,31.55,546,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,participants_only,,,30,22,0,8,22,0,0.27123002301842203,0.20440253904051453,0.7056461901507465,0.023831348025631423,130,30,1.0,55,3.709090909090909,1.4363636363636363,25.4,546,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,nonparticipants_only,,,10,0,10,0,0,0,0.17757062843401542,0.15443863022562226,0.4759119900317117,0.006539285792325368,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.90000000000009,0.1,0.001150747986191023,56.0,0.6444188722669728,19.0,0.21864211737629435,0.0,0.0,0.013678654675535345,0.10714285714285714,0.0,0,6,11,22,1,56,38,37,6.000000000000003,0.0690448791714614,5.8000000000000025,0.06674338319907935,30,29,45
18,B,all_agents,,,40,24,10,6,24,0,0.25196290074563316,0.1865582111134933,0.7021179591999928,0.022134298504454187,132,30,0.75,55,3.709090909090909,1.4363636363636363,31.675,581,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,participants_only,,,30,24,0,6,24,0,0.27653589409373924,0.20486509300969105,0.7021179591999928,0.024988012249026383,132,30,1.0,55,3.709090909090909,1.4363636363636363,25.566666666666666,581,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,nonparticipants_only,,,10,0,10,0,0,0,0.17824392070131498,0.1543082891202258,0.47353243008155316,0.006327173245704819,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,B,step_totals,,,,,,,,,,,,,,,,,,,,,80.1000000000001,,,51.0,0.6367041198501865,17.5,0.21847690387016205,0.0,0.0,0.0144879800193377,0.0392156862745098,0.0,0,2,12,40,,51,35,32,6.000000000000003,0.07490636704119845,5.600000000000002,0.06991260923845188,30,28,32
19,B,all_agents,,,40,27,10,3,27,0,0.25629133688404865,0.19131724389127705,0.714033240831993,0.02325233330862516,137,30,0.75,55,3.709090909090909,1.4363636363636363,31.5,618,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,participants_only,,,30,27,0,3,27,0,0.28208442340347023,0.21050035922580268,0.714033240831993,0.026301366992883716,137,30,1.0,55,3.709090909090909,1.4363636363636363,25.333333333333332,618,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,nonparticipants_only,,,10,0,10,0,0,0,0.17891207732578396,0.15604328420603408,0.47116476793114537,0.0061218325094690934,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,B,step_totals,,,,,,,,,,,,,,,,,,,,,86.6000000000001,,,56.0,0.6466512702078515,19.0,0.21939953810623533,0.0,0.0,0.013832517242030455,0.08928571428571429,0.0,0,5,12,23,,56,38,37,6.000000000000003,0.06928406466512697,5.600000000000002,0.06466512702078518,30,28,45
20,B,all_agents,,,40,28,10,2,28,0,0.2604254125532167,0.19244771791376944,0.7104630746278331,0.024446177876449697,146,30,0.75,55,3.709090909090909,1.4363636363636363,31.625,657,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,participants_only,,,30,28,0,2,28,0,0.28737575822386197,0.21233541449471868,0.7104630746278331,0.027714259054737844,146,30,1.0,55,3.709090909090909,1.4363636363636363,25.5,657,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,B,nonparticipants_only,,,10,0,10,0,0,0,0.17957437554128103,0.15588659205391892,0.46880894409148965,0.005926080760378065,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
