step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_observe,time_share_observe,time_practice,time_share_practice,time_make,time_share_make,time_idle,time_share_idle,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_observe,count_practice,count_make,count_idle,time_share,time_share_share,time_ask,time_share_ask,count_share,count_ask,reject_insufficient_material
10,D,participants_only,,,30,11,0,19,11,0,0.23771711150270486,0.20667096766125687,0.6653083686392516,0.014815015929642274,75,29,0.9666666666666667,0,0.0,0.0,27.5,315,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,nonparticipants_only,,,10,0,10,0,0,0,0.1868535266487766,0.16075963215565492,0.4572235388290508,0.009775297943648547,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,D,step_totals,,,,,,,,,,,,,,,,,,,,,89.00000000000009,,,20.0,0.22471910112359528,58.0,0.6516853932584263,0.0,0.0,0.016638088388692403,0.08620689655172414,0.0,0,5,12,32,,40,58,39,5.400000000000002,0.06067415730337075,5.600000000000002,0.0629213483146067,27,28,31
10,D,reachability,0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,all_agents,,,40,13,10,17,13,0,0.22987849071402458,0.19524255123538348,0.6786960338936815,0.014536938758726713,75,29,0.725,0,0.0,0.0,32.75,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,participants_only,,,30,13,0,17,13,0,0.24400559971908725,0.20867200385334977,0.6786960338936815,0.015439061229722918,75,29,0.9666666666666667,0,0.0,0.0,27.0,345,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,nonparticipants_only,,,10,0,10,0,0,0,0.18749716369883657,0.16169184133346698,0.45493742113490554,0.009435668839647022,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,D,step_totals,,,,,,,,,,,,,,,,,,,,,91.5000000000001,0.1,0.001092896174863387,20.0,0.21857923497267737,60.0,0.6557377049180321,0.0,0.0,0.01451192306408652,0.0,0.0,0,0,11,23,1,40,60,38,5.600000000000002,0.061202185792349685,5.8000000000000025,0.06338797814207646,28,29,36
12,D,all_agents,,,40,15,10,15,15,0,0.23462469582818116,0.1995441514385091,0.6915481925379342,0.015232664499970365,83,30,0.75,0,0.0,0.0,32.65,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,D,participants_only,,,30,15,0,15,15,0,0.25012167804618984,0.21131175746330444,0.6915481925379342,0.01631212182281164,83,30,1.0,0,0.0,0.0,26.866666666666667,378,,,,,,,,,,,,,,,,,,,,,,,,,,,
