step,condition,population,skill_reachability,resource_reachability,n_agents,maker_count,stage_consumer,stage_customizer,stage_maker,stage_advanced_maker,skill_mean,skill_median,skill_max,skill_var,method_count_total,method_holders,method_adoption_rate,method_peer_held,knowledge_diffusion_lag_mean,hop_count_mean,latent_distributed_resources,completed_projects_total,time_total,time_practice,time_share_practice,time_observe,time_share_observe,time_idle,time_share_idle,time_make,time_share_make,skill_gain_per_time,method_self_discovery_per_time,method_peer_acquisition_per_time,peer_acquired_count,self_discovered_count,reject_time_budget_exceeded,reject_missing_asset,count_practice,count_observe,count_idle,count_make,time_ask,time_share_ask,time_share,time_share_share,count_ask,count_share,reject_insufficient_material
9,A,participants_only,,,30,11,0,19,11,0,0.21797585735692632,0.18350744853558731,0.6152870811355758,0.014644572546284878,87,30,1.0,54,3.1481481481481484,1.7407407407407407,28.033333333333335,275,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,nonparticipants_only,,,10,0,10,0,0,0,0.18340629382185433,0.14951103924742454,0.6742448391159173,0.016978441399852582,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,A,step_totals,,,,,,,,,,,,,,,,,,,,,91.80000000000011,20.0,0.21786492374727642,,,0.0,0.0,59.0,0.6427015250544654,0.014758623589478366,0.0847457627118644,0.07812500000000008,1,5,6,36,40,,38,59,6.800000000000003,0.07407407407407403,6.000000000000003,0.06535947712418295,34,30,36
10,A,all_agents,,,40,11,10,19,11,0,0.2144857314754457,0.17955840621010954,0.6708736149203377,0.015901792107274652,96,30,0.75,56,3.357142857142857,1.7321428571428572,33.05,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,participants_only,,,30,11,0,19,11,0,0.22462478896958452,0.18787576480607382,0.6306755978901528,0.015267468041396174,96,30,1.0,56,3.357142857142857,1.7321428571428572,27.4,306,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,nonparticipants_only,,,10,0,10,0,0,0,0.18406855899302912,0.1494958344285941,0.6708736149203377,0.016571158462476646,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,A,step_totals,,,,,,,,,,,,,,,,,,,,,92.20000000000012,20.0,0.2169197396963121,,,0.0,0.0,59.0,0.6399132321041207,0.01500563840654151,0.11864406779661017,0.15151515151515169,2,7,4,35,40,,38,59,7.200000000000004,0.0780911062906724,6.000000000000003,0.06507592190889365,36,30,34
10,A,reachability,0.325,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,all_agents,,,40,14,10,16,14,0,0.2198145819440957,0.1808041385345403,0.667519246845736,0.01648822735183489,102,30,0.75,57,3.4210526315789473,1.736842105263158,32.65,341,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,participants_only,,,30,14,0,16,14,0,0.23151117103093605,0.19179504381969315,0.6454485739745467,0.016044883330646423,102,30,1.0,57,3.4210526315789473,1.736842105263158,26.866666666666667,341,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,nonparticipants_only,,,10,0,10,0,0,0,0.18472481468357468,0.1487483552564511,0.667519246845736,0.016176537060203583,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,A,step_totals,,,,,,,,,,,,,,,,,,,,,90.90000000000009,20.0,0.2200220022002198,0.1,0.001100110011001099,0.0,0.0,58.0,0.6380638063806374,0.015736194222192555,0.08620689655172414,0.07751937984496131,1,5,6,34,40,1,38,58,6.800000000000003,0.07480748074807476,6.000000000000003,0.06600660066006597,34,30,37
12,A,all_agents,,,40,16,10,14,16,0,0.2248407892129704,0.1875866707950664,0.6641816506115074,0.017089075379509117,109,30,0.75,59,3.6610169491525424,1.7627118644067796,32.375,375,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,participants_only,,,30,16,0,14,16,0,0.23799596015356544,0.19837597458629133,0.6596306310155649,0.016828719883957514,109,30,1.0,59,3.6610169491525424,1.7627118644067796,26.5,375,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,A,nonparticipants_only,,,10,0,10,0,0,0,0.18537527639118537,0.15018673749835637,0.6641816506115074,0.01579343959644863,0,0,0.0,0,0.0,0.0,50.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
