seed,condition,topology,peer_learning_enabled,random_seed,agent_initial_states_sha256,participant_ids_sha256,base_graph_sha256,cultural_edge_count,network_density,assortativity_target,assortativity_swap_budget,assortativity_achieved_structured,assortativity_achieved_rewired,assortativity_target_reached,steps,final_state_sha256
8,B,rewired,True,8,069398b3aca237fec97f75035752c772d452945443bf7b1058d3cc96ee891f84,6474a8de80d438f14d5ffa54d06047efe4d2f9a759cf4149bfb07418cc1facf1,7226bb53325dd5a2032a11e6b32b68397d7420017a65438899a28f95975fe865,64,0.15384615384615385,0.3,600,0.3062865651377935,0.04410667423133225,True,156,1298a05597e18882f1dc6171ea386cec4bb467fe3f03db2d8fd0430594097038
8,C,structured,False,8,069398b3aca237fec97f75035752c772d452945443bf7b1058d3cc96ee891f84,6474a8de80d438f14d5ffa54d06047efe4d2f9a759cf4149bfb07418cc1facf1,b48aafb17d13acc45d4dc551b8b23601ff9f34f3e27a3812e59b23fc35130237,70,0.15384615384615385,0.3,600,0.3062865651377935,0.04410667423133225,True,156,c8f28372c2e5e8bf44fba08237e2f32d8ea6eb43c8f9065b051b3937756307d1
8,D,rewired,False,8,069398b3aca237fec97f75035752c772d452945443bf7b1058d3cc96ee891f84,6474a8de80d438f14d5ffa54d06047efe4d2f9a759cf4149bfb07418cc1facf1,7226bb53325dd5a2032a11e6b32b68397d7420017a65438899a28f95975fe865,64,0.15384615384615385,0.3,600,0.3062865651377935,0.04410667423133225,True,156,dd5462cd0772dfc17a8b33249b3eddd2b48532f992135ea737df27f57cdd0bd1
9,A,structured,True,9,f3396d90df1b50b46d9d9938c13df3df8caef19553b4cded0607241c0b2377ae,8cb78c3f263ba7f3f0a6e5f1b6ea6827b3f9b16d903c09675100e54053b594e4,3672ad3777beb3251c0e1db914ab8c0fc625b3c12fbd3e146816d069562de59b,68,0.15384615384615385,0.3,600,0.3314771531927727,-0.0840962673422515,True,156,285811d8d613e29c31f9dd1b4e14c3e20fa9ccb2e37f8f6054fed82be0c22cfa
9,B,rewired,True,9,f3396d90df1b50b46d9d9938c13df3df8caef19553b4cded0607241c0b2377ae,8cb78c3f263ba7f3f0a6e5f1b6ea6827b3f9b16d903c09675100e54053b594e4,1665156089643e0c82812123bd228956de7e7f03503a9afbe852c69fc4f5347e,65,0.15384615384615385,0.3,600,0.3314771531927727,-0.0840962673422515,True,156,f8b610221f04fc4509ccaed85981533af169b93f38cbd476697f6893309dbf31
9,C,structured,False,9,f3396d90df1b50b46d9d9938c13df3df8caef19553b4cded0607241c0b2377ae,8cb78c3f263ba7f3f0a6e5f1b6ea6827b3f9b16d903c09675100e54053b594e4,3672ad3777beb3251c0e1db914ab8c0fc625b3c12fbd3e146816d069562de59b,68,0.15384615384615385,0.3,600,0.3314771531927727,-0.0840962673422515,True,156,b47eed94f48b9b87e916d7e2628a27a7df2f1adfb0e8374a07fcb1d6aa833b61
9,D,rewired,False,9,f3396d90df1b50b46d9d9938c13df3df8caef19553b4cded0607241c0b2377ae,8cb78c3f263ba7f3f0a6e5f1b6ea6827b3f9b16d903c09675100e54053b594e4,1665156089643e0c82812123bd228956de7e7f03503a9afbe852c69fc4f5347e,65,0.15384615384615385,0.3,600,0.3314771531927727,-0.0840962673422515,True,156,4d86204162d4318f0d4a18dffe5c0a9172d53703da30936425c63c4ada290453
10,A,structured,True,10,5cc840ff8abf0dca11998e167e33ad7814dca0786cbf165058841aea0a0decb4,c16a90bedb8b4da3c90064962bb89898a081ea79ecb85e4587563865f5113615,a8fd97e10b40b845d7b6c62d15829026f4b686012b53de51cdcdb188aa63e482,68,0.15384615384615385,0.3,600,0.30416665248819835,-0.0705417614703731,True,156,0678e7d3fa9bd94ce3d1786682e417be6192f6ab270ce250270c1ab35d64c454
10,B,rewired,True,10,5cc840ff8abf0dca11998e167e33ad7814dca0786cbf165058841aea0a0decb4,c16a90bedb8b4da3c90064962bb89898a081ea79ecb85e4587563865f5113615,56d427947813076239c6de334aa8e206c6f8669d36726664f1d13694ccd4bd41,66,0.15384615384615385,0.3,600,0.30416665248819835,-0.0705417614703731,True,156,04aeb718a4b22cdc833ec60e7b7e2a1158d819fc7ebaa507680cbdb7ca560217
10,C,structured,False,10,5cc840ff8abf0dca11998e167e33ad7814dca0786cbf165058841aea0a0decb4,c16a90bedb8b4da3c90064962bb89898a081ea79ecb85e4587563865f5113615,a8fd97e10b40b845d7b6c62d15829026f4b686012b53de51cdcdb188aa63e482,68,0.15384615384615385,0.3,600,0.30416665248819835,-0.0705417614703731,True,156,db773b1ffb0eb9e74a509347bcce41571f6eef0dee18230c1c3c1e9067b029c0
